time_h,condition,enrichment_level,dopamine_index,camp_pka_index,synaptic_index,plasticity_index,normalized_plasticity_index,predicted_climbing_success_raw,predicted_climbing_success_bounded
24,Control,0,0.0,0.0,0.0,0.0,0.0,15.2,15.2
24,Low,1,1.0,0.119203,1.031623,0.702789,0.223175,42.397934,42.397934
24,Medium,2,2.0,0.238406,2.063246,1.405578,0.446351,69.595868,69.595868
24,High,3,3.0,0.357609,3.094868,2.108367,0.669526,96.793802,96.793802
48,Control,0,0.0,0.0,0.0,0.0,0.0,15.2,15.2
48,Low,1,0.606531,0.268941,1.089443,0.657394,0.20876,40.641134,40.641134
48,Medium,2,1.213061,0.537883,2.178885,1.314787,0.41752,66.082268,66.082268
48,High,3,1.819592,0.806824,3.268328,1.972181,0.626279,91.523402,91.523402
72,Control,0,0.0,0.0,0.0,0.0,0.0,15.2,15.2
72,Low,1,0.135335,0.5,1.164317,0.623111,0.197873,39.314413,39.314413
72,Medium,2,0.270671,1.0,2.328634,1.246223,0.395747,63.428827,63.428827
72,High,3,0.406006,1.5,3.49295,1.869334,0.59362,87.54324,87.54324
96,Control,0,0.0,0.0,0.0,0.0,0.0,15.2,15.2
96,Low,1,0.011109,0.731059,1.252982,0.697747,0.221574,42.202808,42.202808
96,Medium,2,0.022218,1.462117,2.505964,1.395494,0.443149,69.205616,69.205616
96,High,3,0.033327,2.193176,3.758947,2.093241,0.664723,96.208424,96.208424
120,Control,0,0.0,0.0,0.0,0.0,0.0,15.2,15.2
120,Low,1,0.000335,0.880797,1.353553,0.782123,0.248369,45.468172,45.468172
120,Medium,2,0.000671,1.761594,2.707107,1.564247,0.496737,75.736344,75.736344
120,High,3,0.001006,2.642391,4.06066,2.34637,0.745106,106.004515,100
144,Control,0,0.0,0.0,0.0,0.0,0.0,15.2,15.2
144,Low,1,4e-06,0.952574,1.464758,0.846067,0.268674,47.942807,47.942807
144,Medium,2,7e-06,1.905148,2.929516,1.692135,0.537349,80.685614,80.685614
144,High,3,1.1e-05,2.857722,4.394274,2.538202,0.806023,113.428421,100
168,Control,0,0.0,0.0,0.0,0.0,0.0,15.2,15.2
168,Low,1,0.0,0.982014,1.585662,0.898687,0.285384,49.979169,49.979169
168,Medium,2,0.0,1.964028,3.171324,1.797373,0.570768,84.758338,84.758338
168,High,3,0.0,2.946041,4.756986,2.69606,0.856152,119.537507,100
192,Control,0,0.0,0.0,0.0,0.0,0.0,15.2,15.2
192,Low,1,0.0,0.993307,1.715542,0.948097,0.301075,51.891358,51.891358
192,Medium,2,0.0,1.986614,3.431084,1.896194,0.602149,88.582717,88.582717
192,High,3,0.0,2.979921,5.146625,2.844291,0.903224,125.274075,100
216,Control,0,0.0,0.0,0.0,0.0,0.0,15.2,15.2
216,Low,1,0.0,0.997527,1.853815,0.99797,0.316912,53.821432,53.821432
216,Medium,2,0.0,1.995055,3.70763,1.99594,0.633824,92.442864,92.442864
216,High,3,0.0,2.992582,5.561445,2.993909,0.950736,131.064296,100
240,Control,0,0.0,0.0,0.0,0.0,0.0,15.2,15.2
240,Low,1,0.0,0.999089,2.0,1.049681,0.333333,55.82266,55.82266
240,Medium,2,0.0,1.998178,4.0,2.099362,0.666667,96.44532,96.44532
240,High,3,0.0,2.997267,6.0,3.149043,1.0,137.067979,100
